judul,label,isi
Bentuk-bentuk Ancaman Nonmiliter,Nasional," - , adalah ancaman yang menggunakan faktor-faktor nonmilter dan dinilai mempunyai kemampuan membahayakan kedaulatan negara, keutuhan wilayah negara dan keselamatan segenap bangsa.,Ancaman nonmiliter dapat berdimensi ideologi, politik, ekonomi, sosial budaya, teknologi dan informasi, serta keselamatan umum.,Salah satu , berdimensi ideologi adalah gerakan kelompok radikal. Motif yang digunakan gerakan kelompok radikal adalah dalih agama, etnik, atau kepentingan rakyat.,Saat ini, masih terdapat paham-paham radikalisme yang menggunakan atribut keagamaan dan berusaha mendirikan negara dengan ideologi lain seperti yang dilakukan oleh kelompok negara islam Indonesia atau NII.,Kehadiran kelompok tersebut merupakan ancaman terhadap eksistensi Negara Kesatuan Republik Indonesia dan mengancam kewibawaan negara.,Ancaman berdimensi politik dapat bersumber dari dalam maupun luar negeri. Dari luar negeri, ancaman berdimensi politik dilakukan oleh suatu negara dengan melakukan tekanan politik berupa intimidasi, provokasi, atau blokade politik.,Ancaman berdimensi politik dapat menumbangkan suatu rezim pemerintahan, bahkan dapat menghancurkan suatu negara secara total.,Ancaman berdimensi politik dapat menggunakan berbagai macam aspek sebagai kendaraan untuk menyerang suatu negara, baik secara langsung maupun tidak langsung.,Ancaman politik yang timbul dari dalam negeri adalah separatisme. Pola perjuangan tidak bersenjata sering ditempuh untuk menarik simpati masyarakat internasional. Oleh karena itu, separatisme sulit dihadapi dengan menggunakan instrumen militer.,Ekonomi tidak hanya menjadi alat stabilitas dalam negeri, tetapi juga merupakan alat penentu posisi tawar setiap negara dalam pergaulan internasional."
Wagub Minta Partisipasi Swasta Adakan Mudik Gratis,Megapolitan,"Wakil Gubernur DKI Jakarta Ahamad Riza Patria mengharapkan pihak swasta mengadakan program sosial , gratis untuk membantu masyarakat dan pemerintah dalam memberikan kelancaran arus , 2022.,""Jangan semuanya dibiayai pemerintah, kan pemerintah dibiayai rakyat, pemerintah uang rakyat,"" kata Riza Patria di Balai Kota Jakarta, dikutip dari ,Jumat (22/4/2022).,Ia mengharapkan kolaborasi dari kalangan swasta untuk membuat program ,.,Adapun Pemerintah Provinsi (Pemprov) DKI Jakarta telah menganggarkan Rp13,7 miliar untuk mudik gratis ke 17 kota tujuan mudik Lebaran.,Program mudik gratis tersebut mendapat sambutan antusias dari masyarakat. Sejak dibuka Sabtu (16/4/2022), tiket mudik gratis sudah habis dipesan calon pemudik pada Jumat ini.,Untuk itu, pihaknya mempertimbangkan menambah kuota tiket mudik gratis dengan berkolaborasi bersama swasta.,""Nanti kami pertimbangkan, nanti kami juga mengajak berkolaborasi, swasta juga harus dukung, harus bantu,"" kata Riza.,Berdasarkan laman mudikgratisdkijakarta.id yang diakses pukul 16.15 WIB kuota tiket mudik gratis sudah ludes. Kuota tiket mudik yang disediakan sebanyak 11.680 tiket untuk kapasitas 292 bus.,Kuota untuk pemberangkatan sepeda motor juga sudah habis dari kuota 660 yang diangkut menggunakan 22 truk. Untuk arus balik, masih menyisakan 857 kursi gratis dari kuota 8.000 kursi gratis menggunakan 200 unit bus.,Kemudian, untuk pemberangkatan sepeda motor sudah habis dari kuota yang disediakan mencapai 270 yang akan diangkut menggunakan sembilan truk."
"Aturan Terbaru, Kapasitas Halalbihalal di Daerah PPKM Level 2 Boleh 75 Persen",Nasional," Menteri Dalam Negeri (,) Tito Karnavian telah meneken Surat Edaran (SE) Nomor 003/2219/SJ tentang Pelaksanaan , Pada Idul Fitri Tahun 1443 H/2022 pada Jumat (22/4/2022)., Pada SE yang ditujukan kepada gubernur dan bupati/wali kota seluruh Indonesia ini diatur kapasitas kehadiran untuk acara , masyarakat sesuai dengan level PPKM daerah masing-masing baik di Jawa-Bali maupun luar Jawa-Bali. , Untuk daerah berstatus PPKM Level 1, tamu yang bisa hadir di acara halalbihalal adalah 100 persen., ""Kemudian 75 persen untuk daerah yang masuk kategori Level 2. Lalu jumlah tamu yang dapat hadir pada acara halalbihalal adalah 50 persen dari kapasitas tempat untuk daerah yang masuk kategori Level 3,"" ujar Dirjen Bina Administrasi Wilayah Kemendagri, Syafrizal ZA, dalam siaran persnya pada Jumat (22/4/2022) malam., Syafrizal melanjutkan, untuk kegiatan halalbihalal dengan jumlah di atas 100 orang, makanan dan minuman disediakan dalam kemasan yang bisa dibawa pulang., Lalu tidak diperbolehkan ada makanan/minuman yang disajikan di tempat (prasmanan). , Hal ini merupakan langkah antisipatif untuk meminimalisasi potensi klaster penularan Covid-19 dalam skala luas keramaian., ""Mengingat aktivitas makan/minum pasti diikuti dengan membuka masker, sehingga berbanding lurus dengan besarnya potensi resiko penularan,"" kata Syafrizal. , Dia pun menegaskan, melalui SE ini pemerintah daerah juga diminta untuk membuat peraturan lebih lanjut di daerahnya masing-masing dengan terus memperkuat disiplin protokol kesehatan., Yakni memakai masker, mencuci tangan/menggunakan hand sanitizer secara berkala serta selalu menjaga jarak."
Kejagung Duga Ada Manipulasi Terkait Izin Ekspor Minyak Goreng,Nasional," - Jaksa Agung Muda Tindak Pidana Khusus (Jampidsus) Kejaksaan Agung RI Febrie Adriansyah mengatakan, ada manipulasi terkait pemberian izin persetujuan ekspor minyak goreng tahun 2021-2022., Febrie menyampaikan, pemerintah telah menerbitkan kebijakan menerbitkan Keputusan Menteri Perdagangan (Kepmendag) Nomor 129 Tahun 2022 yang mensyaratkan kewajiban , (DMO) sebesar 20 persen bagi perusahaan yang ingin melakukan kegiatan ekspor.,Kemudian, persentase itu ditingkatkan menjadi 30 persen melalui Kepmendag Nomor 170 Tahun 2022., ""Ketika izin ekspor pada kenyataan DMO tidak terpenuhi, dapat dipastikan semua syarat yang diajukan memang ada tindakan manipulasi,"" kata Febrie dalam konferensi pers Gedung Kejaksaan Agung, Jakarta, Jumat (22/4/2022)., Adapun Kejagung menetapkan Direktur Jenderal Perdagangan Luar Negeri Kemendag Indrasari Wisnu Wardhana sebagai tersangka kasus izin pemberian ekspor tersebut., Menurut Febrie, Indrasari tidak melakukan pengecekan atas syarat-syarat yang harus dipenuhi eksportir untuk mendapatkan persetujuan ekspor., ""Karena paling mempunyai kewenangan untuk meneliti pengajuan-pengajuan ekspor tersebut. Kenyataanya memang diizinkan, tapi faktanya tidak terpenuhi,"" ucap dia. , Febrie mengatakan, Indra juga telah ditetapkan tersangka dengan alat bukti yang cukup.,Pihaknya juga masih terus mendalami kasus tersebut., ""Mengenai siapakah nanti dalam proses ini yang mengetahui yang kesengajaan berikan izin ekspor kebutuhan dometsik tidak terpenuhi akan diproses seperti kata Jaksa Agung,"" ujar dia. ,Kejagung juga menetapkan 3 tersangka lain selain Indrasari dalam kasus izin pemberian persetujuan ekspor minyak goreng 2021-2022., Ketiga tersangka itu yakni Stanley MA (SMA) yang merupakan Senior Manager Corporate Affairs Permata Hijau Group, Master Parulian Tumanggor (MPT) atau Komisaris PT Wilmar Nabati Indonesia, dan Picare Togar Sitanggang (PTS) selaku General Manager bagian General Affairs PT Musim Mas."
"Anies Diberi ""SP 1"" oleh Koalisi Warga Jakarta, Ini Respons Wagub DKI",Megapolitan," , Wakil Gubernur DKI Jakarta , berterima kasih atas Surat Peringatan Pertama (SP 1) yang diberikan Koalisi Perjuangan Warga Jakarta (KOPAJA), Jumat (22/4/2022)., ""Kami terima kasih dari teman-teman dari LBH, dari KOPAJA semua yang memberikan saran maupun kritik yang konstruktif,"" ujar Riza saat ditemui di Balai Kota DKI Jakarta, Jumat. , Riza mengatakan, Pemprov DKI Jakarta sangat terbuka terhadap kritik dan saran yang dilayangkan oleh warga., Hal tersebut terbukti dengan program Pemprov DKI Jakarta yang disusun dari masukan warga saat Musrembang berlangsung., ""Kami transparan, sangat demokratis, semua kita susun program-program mulai dari musrenbang tingkat terbawah hingga Provinsi,"" tutur Riza., Tidak hanya itu, Riza juga menyebut Pemprov DKI Jakarta sering berdiskusi dengan anggota DPRD untuk mematangkan program kerja agar langsung dirasakan manfaatnya oleh masyarakat Jakarta., Untuk itu dia meminta agar semua pihak bersabar dengan program yang kini sedang terlaksana., ""Tidak ada yang instan tidak ada yang simsalabim, semua melalui proses sesuai dengan RPJMD, sesuai dengan tahapan perencanaan hingga penganggaran bahkan hingga eksekusi penangananya,"" tutur Riza., Riza mengatakan, Pemprov DKI Jakarta siap menampung aspirasi warga dan akan menjawab tetapi mempertimbangkan untuk dilaksanakan., Tidak terkecuali masalah polusi udara, banjir, hunian, air bersih, hingga reklamasi yang menjadi tuntutan koalisi warga."
"Jadwal Imsakiyah di Jakarta Hari Ini, 23 April 2022",Megapolitan," - Selamat menjalankan ibadah puasa. Hari ini, Sabtu (23/4/2022), adalah hari ke-21 ibadah puasa pada bulan Ramadhan 1443 Hijriah., Setiap wilayah seluruh Indonesia memiliki masing-masing jadwal imsak sebagai pengingat sahur sebelum menjalankan ibadah puasa., , menyediakan informasi jadwal imsak setiap hari hingga akhir Ramadhan berdasarkan situs resmi Direktorat Jenderal Bimbingan Masyarakat Islam Kementerian Agama., Berikut jadwal imsakiyah dan jadwal shalat bagi Anda yang berada di kabupaten/kota di wilayah Provinsi DKI Jakarta:, 21 Ramadhan 1443 H (23/4/2022), , Imsak: 04:27 WIB, Subuh: 04:37 WIB, Dzuhur: 11:55 WIB, Ashar: 15.14 WIB"
"Jadwal Imsakiyah di Tangerang Selatan Hari Ini, 23 April 2022",Megapolitan," - Selamat menjalankan ibadah puasa. Hari ini, Sabtu (23/4/2022), adalah hari ke-21 ibadah puasa pada bulan Ramadhan 1443 Hijriah.,Setiap wilayah seluruh Indonesia memiliki masing-masing jadwal imsak sebagai pengingat waktu sahur sebelum menjalankan ibadah puasa., menyediakan informasi jadwal imsak setiap hari hingga akhir Ramadhan berdasarkan situs resmi Direktorat Jenderal Bimbingan Masyarakat Islam Kementerian Agama.,Berikut jadwal imsakiyah dan jadwal shalat bagi Anda yang berada di Tangerang Selatan (Tangsel), Banten, pada Sabtu ini:,Imsak: 04:28 WIB,Subuh: 04:38 WIB,Dzuhur: 11.55 WIB,Ashar: 15.15 WIB,Maghrib: 17.53 WIB,Isya: 19:03 WIB"
"Jadwal Imsakiyah dan Shalat di Kota Tangerang Hari Ini, 23 April 2022",Megapolitan," - Selamat menjalankan ibadah puasa. Hari ini, Sabtu (23/4/2022), adalah hari ke-21 ibadah puasa pada bulan Ramadhan 1443 Hijriah., Setiap wilayah seluruh Indonesia memiliki masing-masing jadwal imsak sebagai pengingat waktu sahur sebelum menjalankan ibadah puasa.,menyediakan informasi jadwal imsak setiap hari hingga akhir Ramadhan berdasarkan situs resmi Direktorat Jenderal Bimbingan Masyarakat Islam Kementerian Agama., Berikut jadwal imsakiyah dan jadwal shalat bagi Anda yang berada di Kota Tangerang, Banten, pada Sabtu ini:, , Imsak: 04.28 WIB, Subuh: 04.38 WIB, Dzuhur: 11.56 WIB, Ashar: 15.15 WIB, Maghrib: 17.53 WIB"
"Jadwal Imsakiyah di Depok Hari Ini, 23 April 2022",Megapolitan," Selamat menjalankan ibadah puasa. Hari ini, Sabtu (23/4/2022), adalah hari ke-21 ibadah puasa pada bulan Ramadhan 1443 Hijriah., Setiap wilayah seluruh Indonesia memiliki masing-masing jadwal imsak sebagai pengingat sahur sebelum menjalankan ibadah puasa., , menyediakan informasi jadwal imsak setiap hari hingga akhir Ramadhan berdasarkan situs resmi Direktorat Jenderal Bimbingan Masyarakat Islam Kementerian Agama., Berikut jadwal imsakiyah dan jadwal shalat bagi Anda yang berada di wilayah Depok:, , 21 Ramadhan 1443 H (23/4/2022), Imsak: 04:27 WIB, Subuh: 04:37 WIB, Dzuhur: 11:55 WIB, Ashar: 15.14 WIB"
"Mendagri Teken SE, Kapasitas Halalbihalal di Daerah PPKM Level 1 Boleh 100 Persen",Nasional," Menteri Dalam Negeri (Mendagri) telah meneken Surat Edaran (SE) Nomor 003/2219/SJ tentang Pelaksanaan , Pada Idul Fitri Tahun 1443 H/2022 yang ditujukan kepada gubernur dan bupati/wali kota Seluruh Indonesia., SE yang diteken pada 22 April tesebut meminta kepada gubernur dan Bupati/Walikota untuk memberikan atensi pelaksanaan , di daerahnya masing-masing yang disesuaikan dengan level daerah kabupaten/kota sebagaimana ditetapkan dalam Inmendagri PPKM Level 3, 2 dan 1 untuk wilayah Jawa-Bali maupun Inmendagri PPKM Level 3, 2, dan 1 untuk wilayah luar Jawa-Bali., “Jumlah tamu yang dapat hadir pada acara halalbihalal adalah 50 persen dari kapasitas tempat untuk daerah yang masuk kategori Level 3. Kemudian 75 persen untuk daerah yang masuk kategori Level 2,"" ujar Dirjen Bina Administrasi Wilayah Kemendagri, Syafrizal ZA, dalam siaran persnya pada Jumat (22/4/2022) malam., ""Dan 100 persen untuk daerah yang masuk kategori level 1,"" tuturnya., Syafrizal melanjutkan, bahwa untuk kegiatan halal bihalal dengan jumlah di atas 100 orang, makanan/minuman disediakan dalam kemasan yang bisa dibawa pulang., Lalu tidak diperbolehkan ada makanan/minuman yang disajikan di tempat (prasmanan). , Hal ini merupakan langkah antisipatif untuk meminimalisasi potensi klaster penularan Covid-19 dalam skala luas keramaian., ""Mengingat aktivitas makan/minum pasti diikuti dengan membuka masker, sehingga berbanding lurus dengan besarnya potensi risiko penularan,"" kata Syafrizal. , Dia pun menegaskan, melalui SE ini pemerintah daerah juga diminta untuk membuat peraturan lebih lanjut di daerahnya masing-masing dengan terus memperkuat disiplin protokol kesehatan., Yakni memakai masker, mencuci tangan/menggunakan hand sanitizer secara berkala serta selalu menjaga jarak."
Bentuk-bentuk Ancaman Militer,Nasional," - Ancaman militer merupakan ancaman yang sangat membahayakan keutuhan dan kedaulatan dari suatu wilayah negara tersebut. Ancaman militer bisa datang dari luar maupun dalam negeri.,Apabila tidak ditangani dengan tepat, ancaman militer dapat merusak pertahanan wilayah sebuah negara.,Pertahanan negara di Indonesia diatur dalam Undang-undang atau UU Nomor 3 Tahun 2002.,Dalam UU disebutkan bahwa ancaman militer adalah ancaman yang menggunakan kekuatan bersenjata yang terorganisir dan dinilai membahayakan kedaulatan negara, keutuhan wilayah negara, dan keselamatan segenap bangsa.,Berikut ,:,Agresi adalah salah satu contoh ancaman militer yang dilakukan menggunakan kekuatan bersenjata oleh negara lain terhadap suatu negara.,Salah satu contoh ancaman militer berbentuk agresi adalah peristiwa agresi militer Belanda II pada tanggal 19 Desember 1945. Agresi militer Belanda II berlangsung di kota Yogyakarta di mana pada saat itu Yogyakarta merupakan ibu kota negara Indonesia.,Pelanggaran wilayah adalah salah satu tindakan yang mengancam keutuhan dan kedaulatan wilayah negara serta membahayakan bangsa dalam suatu negara.,Tindakan pelanggaran wilayah dapat dilakukan menggunakan pesawat maupun kapal.,Contoh ancaman militer pelanggaran wilayah adalah berlangsungnya kegiatan kapal nelayan China yang masuk ke dalam wilayah perairan Indonesia tepatnya di kawasan zona ekonomi eksklusif atau ZEE di Natuna."
Vaksin Booster di Jabodetabek 23 April 2022 dan Link Pendaftaran,Megapolitan," Vaksinasi Covid-19 masih terus dilakukan oleh Pemerintah. Terlebih setelah dosis booster menjadi salah satu syarat mudik saat lebaran, banyak sentra vaksinasi yang digelar di beberapa wilayah di Jakarta, Bogor, Depok, Tangerang dan Bekasi.,Sentra vaksinasi di beberapa lokasi diadakan mulai dari vaksin dosis pertama, kedua, ketiga atau booster dan vaksin anak.,Vaksin yang digunakan di setiap lokasi berbeda-beda tergantung persediaan. Ada Sinovac, AstraZeneca, Pfizer, dan Moderna.,Adapun persyaratan calon penerima vaksin bisa menggunakan Kartu Tanda Penduduk (KTP) mana saja. Namun khusus untuk calon penerima vaksin booster, harus memenuhi syarat sudah divaksin lengkap dengan jarak pemberian dosis kedua minimal 6 bulan.,Setiap vaksinasi tersedia di beberapa puskesmas, namun untuk jadwal pelaksanaannya bisa mengeceknya di aplikasi JAKI. Adapun berikut ini beberapa lokasi vaksin yang bisa dikunjungi pada 23 April 2022."
Tarif Bus Jakarta - Malang untuk Mudik 2022,Megapolitan," Malang merupakan salah satu daerah tujuan bagi para pemudik saat lebaran. Banyaknya pendatang asal Malang membuat kota ini banyak dijadikan tujuan mudik saat jelang hari raya.,Untuk tahun ini Pemerintah sendiri memperbolehkan masyarakat untuk mudik ke kampung halaman dengan beberapa ketentuan dan syarat. Bus Antarkota Antar Provinsi (AKAP) pun menjadi salah satu moda transportasi darat yang dipilih ketika ingin mudik.,Bus tujuan Jakarta-Malang dimiliki oleh banyak operator bus seperti Lorena, Kramat Djati, Pahala Kencana, Rosalia Indah, Gunung Harta dan lainnya. Harga yang ditawarkan pun beragam. Tergantung dari tipe kelas bus dan rute tujuan.,Anda bisa membeli tiket on the spot. Namun biasanya menjelang lebaran tiket on the spot sudah habis terjual. Belum lagi banyaknya calo di terminal keberangkatan bus yang menawarkan harga tiket lebih tinggi.,Oleh karena itu ada baiknya memesan online melalui situs resmi dari masing-masing operator atau dari situs layanan pemesanan tiket seperti traveloka dan redbus.id.,Berikut ini merupakan daftar harga tiket bus Jakarta-Solo yang dilansir dari situs redbus.id dan traveloka.com untuk puncak mudik tanggal 28 April 2022."
Info Mudik Gratis ke Padang dari Depok Untuk Mahasiswa ,Megapolitan," Pemerintah Kota Padang Panjang bersama Dinas Perhubungan Kota Padang Panjang membuka program mudik gratis dari Depok dan Bandung. Adapun hal ini disampaikan melalui akun resmi instagram @dishub_padangpanjang.,Program mudik gratis ke Padang Panjang ini diperuntukan bagi para mahasiswa dan mahasiswi perantauan yang ingin pulang ke kampung halaman.,Adapun dua titik keberangkatan yakni Kampus Universitas Indonesia (UI) Depok dan Universitas Padjajaran Bandung. Keberangkatan akan dilaksanakan pada tanggal 25 April 2022.,Cara mendaftarkannya dengan menghubungi langsung ke nomor kordinator yang tertera. Pendaftaran akan ditutup setelah kuota terpenuhi. "
Larangan Mempekerjakan Anak di Bawah Umur dan Pengecualiannya,Nasional," , – Indonesia menjadi salah satu negara dengan jumlah pekerja anak yang tinggi. Banyaknya pekerja anak merupakan dampak dari berbagai persoalan sosial yang terjadi.,Salah satu faktor utama yang mendorong banyak anak untuk masuk dalam dunia kerja adalah masalah ekonomi keluarga.,Anak-anak diharuskan untuk membantu keuangan keluarga, bahkan ada yang menjadi tulang punggung keluarga mereka.,Meski begitu, , di bawah umur merupakan hal yang dilarang oleh negara., diatur dalam UU Nomor 13 Tahun 2003 tentang Ketenagakerjaan. Pasal 68 berbunyi, “Pengusaha dilarang mempekerjakan anak.”,Dalam undang-undang ini, , adalah 18 tahun. Bagi pengusaha atau pihak-pihak yang melanggar aturan ini akan dikenakan sanksi hukum.,Para pelanggar akan dijerat pidana penjara paling singkat satu tahun dan paling lama empat tahun dan/atau denda paling sedikit Rp 100 juta dan paling banyak Rp 400 juta.,Meski undang-undang telah melarang tegas pengusaha mempekerjakan anak di bawah umur, namun terdapat pengecualian bagi anak di bawah 18 tahun yang hendak bekerja.,Anak dibolehkan melakukan pekerjaan ringan, bekerja sebagai bagian dari kurikulum pendidikan, serta bekerja untuk mengembangkan bakat dan minatnya.,Selain itu, anak yang dipekerjakan bersama-sama dengan pekerja atau buruh dewasa, tempat kerjanya harus dipisahkan."
Jenis dan Obyek Perlindungan Tenaga Kerja,Nasional," – Tenaga kerja adalah setiap orang yang mampu melakukan pekerjaan menghasilkan barang atau jasa baik untuk memenuhi kebutuhan sendiri maupun untuk masyarakat.,Tenaga kerja merupakan salah satu penggerak ekonomi bagi suatu negara. Sayangnya, konflik kerap terjadi antara tenaga kerja dan pengusaha atau perusahaan.,Untuk mengatasi hal ini, pemerintah telah menyiapkan sejumlah peraturan, termasuk di antaranya UU Nomor 13 Tahun 2003 tentang Ketenagakerjaan. ,Adanya undang-undang ini menjadi jaminan hukum bagi ,.,Tujuan perlindungan tenaga kerja adalah untuk memastikan sistem hubungan kerja berjalan harmonis tanpa adanya tekanan dari pihak yang kuat kepada yang lemah.,Perlindungan terhadap tenaga kerja dimaksudkan untuk menjamin hak-hak dasar serta perlakuan tanpa diskriminasi terhadap pekerja atau buruh demi mewujudkan kesejahteraan mereka dengan tetap memperhatikan kemajuan perusahaan.,Secara garis besar, ada tiga ,, yaitu:,Berdasarkan UU Nomor 13 Tahun 2003 tentang Ketenagakerjaan, yang menjadi ,, yakni:,Pengusaha sebagai pemberi kerja diwajibkan memberi perlindungan terhadap tenaga kerjanya. Jika tidak, pengusaha dapat dikenakan sanksi pidana penjara dan membayar denda., , "
Megawati yang Tolak Penundaan Pemilu dan Isyarat PKB Menyudahi Wacana,Nasional," Pelan tapi pasti, wacana penundaan pemilu semakin tak memiliki ruang untuk dibahas., Setelah memicu berbagai demonstrasi, wacana yang diutarakan sejumlah elite politik ini terus mendapatkan penolakan., Salah satunya yang terkini yaitu Ketua Umum PDI-P Megawati Soekarnoputri. , Dalam acara Kick Off Pembentukan BRIDA yang ditayangkan secara virtual, Rabu (20/4/2022), Megawati menegaskan bahwa dirinya tidak ingin Pemilu 2024 ditunda., Pemilu, kata dia, harus berjalan sesuai dengan jadwal yang telah ditentukan., ""Saya tegas mengatakan sebagai ketua partai. No! Tak ada penundaan (pemilu) sama sekali. Tetap berjalan dengan apa adanya,"" tegas Megawati., Presiden ke-5 RI itu mengaku heran wacana penundaan Pemilu 2024 masih bergulir meski Presiden Joko Widodo (Jokowi) telah tegas menolaknya., Menurut dia, isu ini tak ubahnya sebagai permainan politik., ""Sudah tegas-tegas dikatakan oleh Presiden tidak ada penundaan. Kurang apalagi? Tapi itu kan permainan politik,"" terang Megawati., Pernyataan Megawati pun memantik sejumlah elite partai politik untuk berbicara., Catatan Kompas.com, ada tiga partai politik mengutarakan sikap merespons pernyataan Mega, yaitu Partai Amanat Nasional (PAN), Partai Persatuan Pembangunan (PPP) dan Partai Kebangkitan Bangsa (PKB).,Sekretaris Jenderal (Sekjen) DPP PAN Eddy Soeparno mengungkapkan bahwa pernyataan Megawati Soekarnoputri semakin menegaskan bahwa Pemilu 2024 tetap berjalan sesuai kesepakatan., ""Pernyataan Ibu Mega semakin menguatkan tekad kita bersama bahwa Pemilu tetap berjalan sesuai jadwal di tahun 2024,"" kata Eddy saat dihubungi Kompas.com, Jumat (22/4/2022)."
"Pedagang Pasar Bogor Menangis Histeris ke Jokowi, Bima Arya: Curhatannya Tak Sesuai Fakta",Megapolitan," - Wali Kota Bogor , buka suara terkait video viral yang memperlihatkan pedagang pasar Bogor mengadu sambil menangis histeris kepada Presiden Joko Widodo. ,Momen dalam video itu direkam saat Jokowi didampingi Bima Arya mengunjungi Pasar Bogor pada Kamis (21/4/2022).,Dalam video tersebut, seorang pedagang perempuan mengaku bahwa pamannya bernama , ditangkap polisi akibat menolak pungutan liar (pungli).,Bima pun menegaskan cerita yang disampaikan pedagang kepada Jokowi itu tidak benar.,""Curhatan pedagang itu, dipastikan tidak sesuai dengan kasus yang sebetulnya terjadi,"" kata Bima Arya di Mako , Kota, Jumat (22/4/2022), seperti dilansir dari Tribun Bogor.,Bima sudah berkoordinasi dengan jajaran Polresta Bogor soal keterangan yang disampaikan pedagang perempuan itu ke Jokowi.,Pihak kepolisian pun menyatakan bahwa Ujang Sarjana ditangkap karena tindak pidana pengeroyokan yang dilakukan ke sesama pedagang, bukan karena pungutan liar. ,""Kami sudah melihat kepolisian sudah melakukan proses hukum ini tepat. Semua sesuai aturan,"" kata Bima. ,Diwawancarai terpisah, Kapolresta Bogor Kota Kombes Pol Susatyo Purnomo Condro mengatakan, bahwa kasus ini merupakakan perkara pengeroyokan yang diduga dilakukan oleh Ujang Sarjana dan rekan-rekannya kepada pedagang lain.,""Sebagai informasi perkara ini ditangani oleh kepolisian pada bulan Desember 2021 atas pengeroyokan terhadap sesama pedagang,"" kata Susatyo."
"UPDATE 22 April: Kasus Covid-19 di Tangsel Bertambah 14, Pasien Sembuh Tambah 22 Orang",Megapolitan," Dinas Kesehatan Kota Tangerang Selatan (Tangsel) melaporkan penambahan kasus baru positif Covid-19 sejumlah 14 kasus pada Jumat (22/4/2022)., Dengan demikian, kumulatif , dari awal pandemi hingga kini mencapai 83.819 kasus., Sementara itu, pasien yang dinyatakan sembuh bertambah 22. Total pasien sembuh hingga kini menjadi 82.666 orang., Pasien terkonfirmasi positif Covid-19 yang dilaporkan meninggal dunia tidak bertambah, sehingga sejak awal pandemi hingga kini total korban meninggal berjumlah 776 orang., Saat ini, pasien positif Covid-19 yang menjalani perawatan jumlahnya berkurang 8 orang., Dengan demikian, total pasien yang menjalani perawatan berjumlah 377 orang. Para pasien menjalani isolasi mandiri maupun dirawat di rumah sakit rujukan., Kecamatan Pondok Aren masih menjadi wilayah dengan jumlah kasus Covid-19 terbanyak, yakni 18.725 kasus. Berikutnya adalah Kecamatan Pamulang yang mencatatkan 17.672 kasus Covid-19., Informasi terkait penanganan dan data terkini kasus Covid-19 di Tangsel dapat diakses melalui situs https://lawancovid19.tangerangselatankota.go.id."
Saat Jokowi hingga Mendag Lutfi Disomasi Gara-gara Minyak Goreng...,Nasional," Sejumlah organisasi masyarakat sipil melayangkan somasi terbuka kepada beberapa lembaga negara akibat langka dan mahalnya minyak goreng saat ini., Organisasi-organisasi sipil tersebut yakni Sawit Watch, eLSAM, HuMA, Pilnet, Walhi, dan Greenpeace Indonesia., Pihak yang dilayangkan somasi adalah Presiden Joko Widodo, Menteri Koordinator Bidang Perekonomian Airlangga Hartanto, Menteri Perdagangan Muhammad Lutfi, dan Menteri Perindustrian Agus Gumiwang Kartasasmita., Dalam tuntutannya, organisasi masyarakat sipil meminta pemerintah segera menanggulangi persoalan ini dan mencegahnya terulang di masa depan., ""Kami meminta untuk segera memenuhi permintaan kami paling lama 14 hari sejak surat ini kami sampaikan,"" ujar Deputi Direktur Eksekutif Sawit Watch Achmad Surambo kepada wartawan seusai menyerahkan somasi ke Kementerian Perdagangan, Jumat (22/4/2022)., Mereka meminta agar pemerintah segera memprioritaskan pemenuhan kebutuhan minyak goreng dalam negeri ketimbang ekspor, serta menetapkan kembali harga eceran tertinggi (HET) terhadap produk minyak goreng di tingkat peritel., ""Dalam hal ini pemerintah patut diduga mengabaikan tanggung jawab dan kewajibannya untuk mengatasi kelangkaan dan tingginya harga minyak goreng,"" ujar Rambo., ""Dampak dari kelangkaan dan tingginya harga minyak goreng yang terjadi di seluruh Indonesia juga sudah merenggut korban jiwa, di antaranya karena mengantre berjam-jam untuk mendapatkan minyak goreng,"" jelasnya.,Mereka juga meminta agar Presiden Jokowi dan Menperin Agus Gumiwang serta Komisi Pengawas Persaingan Usaha untuk mengevaluasi struktur industri minyak goreng Indonesia.,Hal itu untuk memastikan tidak ada lagi struktur pasar yang terkonsentrasi seperti saat ini, sehingga ke depannya pasar persaingan sehat bisa terwujud."
